video_id,comentarios,autores,respuestas,me_gusta,title,channel_name,channel_id,view_count,category
3Nfp9h5avBI,2,2,0,0,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,UCdSVqHGHzyMTXSafUHY-e-w,573,News & Politics
UhL9y3KUl8E,1,1,0,2,SHAI WA: la vecina queer de Casa Presidencial,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,1755,News & Politics
X_FAIef8qlE,1,1,0,0,Cruzando la ciudad a puro Transmetro,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,1140,News & Politics
s0eco-BofOs,1,1,0,0,¿Quiénes pagan más en Centroamérica?,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,220,News & Politics
zweosulrwA8,1,1,0,0,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,52,Nonprofits & Activism
THY2YBne3QE,0,0,0,0,"Los ALUCINANTES autobuses de Guatemala | ""Burras""",Luisito Comunica,UCECJDeK0MNapZbpaOzxrUPA,8190449,Comedy
n4xHxJPNr78,0,0,0,0,🚫LOS FAMOSOS BUSES ESMERALDA los mas RÁPIDOS DE GUATEMALA 😱,De todo Gt,UCDfEVbDrimcKw5lfbps915g,3152619,People & Blogs
KkNQhX_kg8A,0,0,0,0,🇬🇹HISTORIA de GUATEMALA en 17 minutos🇬🇹 - El Mapa de Sebas,El Mapa de Sebas,UCVbOEcs6RMxXXX3WWNtl_Fw,749356,Education
Aa7hIDCRh3g,0,0,0,0,Este BUS me LLEVO a UN PARAISO EN GUATEMALA,De todo Gt,UCDfEVbDrimcKw5lfbps915g,504374,People & Blogs
NnKpTEfhWjI,0,0,0,0,✅ ASÍ es una EXHIBICION DE BUSES EN GUATEMALA,De todo Gt,UCDfEVbDrimcKw5lfbps915g,424874,Travel & Events
_1VIxOLyaUQ,0,0,0,0,Sonido de trafico y ciudad 💤 ruido de calle para dormir bebés y relajarse,Ambient Sound Explorer,UCKZ0c9xQAIokTOf4iPJd5jw,330057,Entertainment
VfBrLONPnFM,0,0,0,0,ME quité el MIEDO de viajar en los buses de GUATEMALA 🔥,De todo Gt,UCDfEVbDrimcKw5lfbps915g,329489,People & Blogs
_Lcbi4NCHRA,0,0,0,0,Tercer Informe General de la República,Gobierno de Guatemala,UCh4GjKBcqxOsL_Bt8gCCSLg,305269,News & Politics
ZPBiWdHXg20,0,0,0,0,Piloto de tráiler accidentado en ruta al Atlántico era un menor y murió en el lugar,PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,233632,News & Politics
anFbrgqxdzY,0,0,0,0,Horas Antes del Big One | Dentro de Ciudad de Guatemala Exactamente Antes del Terremoto (1976),Nostalgia Latina,UC6Y7Hk0Otm2xeX1WoHOQp6Q,222656,People & Blogs
kjwvEESqSHA,0,0,0,0,¿VALE la PENA VIAJAR de GUATEMALA a  XELA en BUS?  Descúbrelo,De todo Gt,UCDfEVbDrimcKw5lfbps915g,216172,People & Blogs
tXLhWHWGaao,0,0,0,0,Breve historia política de Guatemala,Crónica Panamericana,UCo1g4EQqLwMO9RqEv1rCUpQ,144134,People & Blogs
K50uijsHnAM,0,0,0,0,Informe desde Ciudad de Guatemala: crisis de seguridad tras ataques contra la Policía,FRANCE 24 Español,UCUdOoVWuWmgo1wByzcsyKDQ,135249,News & Politics
MdIa2Dtj77I,0,0,0,0,"Consejos para tu viaje a Guatemala: hospedaje, telefonía, transporte y más!   ✈️ 🇬🇹",Aventuras de una programadora,UCZyaNecz9ugVReNcNfXXurA,134775,People & Blogs
hy0mwEHr6V0,0,0,0,0,MI3 será utilizado dentro de las evaluaciones a aspirantes a PNC,Ministerio de Gobernación,UC8u2nvyHewt-mjdWSj0HJmQ,127595,News & Politics
ZS74P3DnykA,0,0,0,0,"Policía Nacional Civil gradúa 3,978 nuevos agentes",PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,115270,News & Politics
dLctzx8qCgA,0,0,0,0,¿Cómo la CIA ALTERÓ el DESTINO de GUATEMALA para siempre?,Alan Delmonte,UCYaMaLJVbMlLwpPACbxPUuQ,108616,Education
tb6LaOWGAIo,0,0,0,0,"Guía Definitiva para viajar a Guatemala 2026 🇬🇹 Qué ver, itinerarios, precios y consejos",Welcome to el Mundo,UC70eD0hNEwDNAfNlqfRWlGA,104869,Travel & Events
B60bWqpVUIE,0,0,0,0,Así es el transporte público en Ciudad de Guatemala,PaulinoG,UCBedZZFhxFcMudI8oM5joSQ,96794,Travel & Events
D4CEpAfkkPI,0,0,0,0,Policías arremeten contra agente de PMT en zona 10,PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,79044,News & Politics
ewdf3q1tuCA,0,0,0,0,INTERPOL Guatemala captura a mujer por prostituir a señoritas,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,71048,News & Politics
3-jKER3zqcA,0,0,0,0,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,audioschileros,UC-YGRGi0FeIA5441bGlHOPw,70811,People & Blogs
nPbC8-Ebat4,0,0,0,0,Pareja de sicarios capturada tras ataque armado contra piloto de autobús,PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,70537,Science & Technology
ebbgBtNrRz8,0,0,0,0,Las fuertes lluvias en Guatemala dejan al menos tres fallecidos en zonas rurales | Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,63249,News & Politics
Jr1hJ92H_Nc,0,0,0,0,"#SinMáscaras | GUERRA SUCIA PERO SUCIA EN SERIO LLEGA A TV AZTECA CON AMPARO, CAMIN Y CASTAÑEDA",Manuel Pedrero,UCH4M_4Ed6SUidQthmZ60M2g,62941,News & Politics
DBvMeKT4gzo,0,0,0,0,La Familia MÁS RICA de GUATEMALA… Ni la Guerra les Quitó el Trono y Hoy son DUEÑOS de tu CERVEZA,Fortuna Latina,UCP1YKuLnn1WhzrkxCv1LILQ,58881,People & Blogs
zyA0BpEYcQU,0,0,0,0,Discusión entre conductor y jefe de la PMT,Nuestro Mundo,UC_Lj2naQPP8vmyDu-AEOo-w,55349,People & Blogs
zfJlUXRSaCU,0,0,0,0,Brief Political History of Guatemala,Crónica Panamericana,UCo1g4EQqLwMO9RqEv1rCUpQ,53547,People & Blogs
3S3KygWSjAQ,0,0,0,0,Himno de la Policía Nacional Civil de Guatemala,PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,53021,News & Politics
XLkVzqqL34Q,0,0,0,0,Nueva Mega Autopista Xochi en Guatemala 🇬🇹 ¿Vale la pena? (Te ahorra hasta 3 horas),One Life,UCkXkEfAaEGxUaIT6TBBkwMw,44510,Entertainment
5nw9G1vwnYY,0,0,0,0,Actriz guatemalteca caracteriza a Consuelo Porras frente al MP por salida del cargo,PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,40327,News & Politics
VuIl4tjeKGQ,0,0,0,0,La ciudad sigue modernizándose para ti y tu familia.,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,39168,News & Politics
dccwBXfxxiI,0,0,0,0,¡Espacios iluminados y seguros!,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,38773,News & Politics
0iQD8zHxZIg,0,0,0,0,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,Tras la Verdad SV,UCoVACVT8WitFTc_Ok5yhYlg,36701,News & Politics
1w9faaYjhyU,0,0,0,0,Fundación de la República de Guatemala 21 marzo 1847,El profe de Historia Gt,UCdHETJl6cR5dye5XxEyqycQ,31697,People & Blogs
wm1f52Mvzag,0,0,0,0,Gloria Álvarez: ¿Podría ser la próxima presidenta de Guatemala?,Jorge Ramos,UCN5tcDI7z6vN9s3p3n_JtoQ,31357,News & Politics
RIpKKQh26cg,0,0,0,0,Ejército de Guatemala descubre túnel para fuga masiva en penal de Pavón,TN23 Guatemala,UCt5Dw7ePnn0AqPqRF8Xpjkw,29782,News & Politics
-KDglrIzRKo,0,0,0,0,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,México Poder,UC-DpoeBbCMOMOH1-j71KPqA,29736,People & Blogs
x_CB0ZRLQTA,0,0,0,0,Ricardo Quiñónez paga con nuestros impuestos netcenter,AlcaldexAccidente,UCaFyLdpZa60tkGfjOsznHSg,29419,People & Blogs
IZLflL4Hgco,0,0,0,0,El ciudadano Toriello da un paso al frente,TanGente Podcast,UCGSQ821fpPy-yXL9mUmKbBg,28013,Entertainment
4DD1nlxWk2s,0,0,0,0,Fuertes LLUVIAS en el JABALI; a si luce una Tarde de Tormenta 😱,VIVA GUATEMALA,UCKu8ZkS9vriCetFagAGIMXA,27111,Entertainment
NCvoO61aIfw,0,0,0,0,Ya casi! Así avanza el Aerómetro que cambiará el transporte en Guatemala,One Life,UCkXkEfAaEGxUaIT6TBBkwMw,26744,Entertainment
iacCQ4VyWWc,0,0,0,0,"Los conservadores y los liberales, Historia de Guatemala",Panda 01,UC-rcR68a-aLwAnszxTG4--A,25431,People & Blogs
ZNwStkzWgso,0,0,0,0,Elección judicial en Guatemala: Astrid Lemus y Luis Bermejo electos para corte de constitucionalidad,CNN en Español,UC_lEiu6917IJz03TnntWUaQ,24636,News & Politics
9BIrwWQUdb8,0,0,0,0,"Capturan a ""guardián"" de parqueo utilizado por la mara Salvatrucha e incautan 5 vehículos robados.",PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,23972,Science & Technology
nhhXiHI4rrw,0,0,0,0,Policía Nacional Civil participa en desfile del día del Ejército. #ProtegerYServir,PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,21534,News & Politics
