node_id,tipo,etiqueta,grado,grado_ponderado,canal,categoria,visualizaciones,handle
v:H_TGv_cMwww,video,PMT: La fuerza laboral reguladora del tránsito más grande,0,0,Municipalidad de Guatemala,News & Politics,2383,
v:I277M6i4jnY,video,Gestión del Riesgo de Desastres desde las comunidades.,0,0,Gobierno de la República de Guatemala,Entertainment,242,
v:IZLflL4Hgco,video,El ciudadano Toriello da un paso al frente,0,0,TanGente Podcast,Entertainment,28013,
v:IcF9rRdAtp8,video,Ministro de Comunicaciones Alejandro Sinibaldi realiza supervisión en la Ruta CA-1 Occidente,0,0,Ministerio de Comunicaciones Infraestructura y Vivienda,People & Blogs,211,
v:J6ctng-yAnI,video,CIV PROVIAL GRADUACIÓN XV PROMOCIÓN BRIGADAS 140619,0,0,CIV -Ministerio de Comunicaciones,People & Blogs,2981,
v:JErfmk-TlRg,video,Rendición de Cuentas - Primer Cuatrimestre 2023,0,0,CIV -Ministerio de Comunicaciones,People & Blogs,32,
v:J_HBzJUTOus,video,Presentan estrategia nacional para prevenir violencia durante recorridos de antorchas,0,0,Ministerio de Gobernación,News & Politics,17,
v:JdxHJkQjM50,video,🚡 ¿Cómo va avanzando #AeroMetroGT?,0,0,Municipalidad de Guatemala,News & Politics,20901,
v:JgmCtBQWNL8,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,0,Gobierno de la República de Guatemala,Entertainment,1165,
v:JkpVO1hx2f8,video,10 Preguntas a un año del Paro Nacional,3,3,Quorum,News & Politics,673,
v:Jr1hJ92H_Nc,video,"#SinMáscaras | GUERRA SUCIA PERO SUCIA EN SERIO LLEGA A TV AZTECA CON AMPARO, CAMIN Y CASTAÑEDA",0,0,Manuel Pedrero,News & Politics,62941,
v:K1IA6oTGws8,video,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,0,Diario de Centro América,News & Politics,530,
v:K2qWcueeMOc,video,#EnvivoDCA | Conferencia de prensa de Gobierno de Guatemala,0,0,Diario de Centro América,News & Politics,802,
v:K50uijsHnAM,video,Informe desde Ciudad de Guatemala: crisis de seguridad tras ataques contra la Policía,0,0,FRANCE 24 Español,News & Politics,135249,
