source,target,peso,author_channel_id,video_id,autor,video
a:UCNIeXbV_mEwpa412h1aqUWw,v:PjmxCj-a9Hg,3,UCNIeXbV_mEwpa412h1aqUWw,PjmxCj-a9Hg,@juandeleon9060,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
a:UCNiMNUJvaRJb0_QLClqwVnA,v:TT4qJ5FXHYE,1,UCNiMNUJvaRJb0_QLClqwVnA,TT4qJ5FXHYE,@Santiago.Nolasco,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres."
a:UCNkcuy42zEwddwEcOd_HpnA,v:n8iP75gIpmw,1,UCNkcuy42zEwddwEcOd_HpnA,n8iP75gIpmw,@vanigomez492,Qué rico come tu diputado
a:UCNpt5CQlTzNjlAKY6CJtClQ,v:j43HgwYFKfk,1,UCNpt5CQlTzNjlAKY6CJtClQ,j43HgwYFKfk,@eustaquiogomez9975,La cooptación de Walter Mazariegos en la USAC
a:UCO0zwwLWGyDgQmWPJ5Qrr1w,v:06mFNPU0aB8,1,UCO0zwwLWGyDgQmWPJ5Qrr1w,06mFNPU0aB8,@elsalvador3605,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto
a:UCOARn3hnfkB7-_Rwa8Hoqcw,v:WIUZtitfLRw,1,UCOARn3hnfkB7-_Rwa8Hoqcw,WIUZtitfLRw,@nicelol5241,Caminar en una ciudad hecha para carros
a:UCOLGv5Pf6BF2wFcwUzgcvHg,v:n8iP75gIpmw,2,UCOLGv5Pf6BF2wFcwUzgcvHg,n8iP75gIpmw,@welfrealdana5559,Qué rico come tu diputado
a:UCOLHH4ZpMxPYF-Q6e6wvn5A,v:OkXlHx0hx-8,1,UCOLHH4ZpMxPYF-Q6e6wvn5A,OkXlHx0hx-8,@luisroldan7374,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
a:UCOS8ViEkccrTZx2w2ccxotA,v:n8iP75gIpmw,1,UCOS8ViEkccrTZx2w2ccxotA,n8iP75gIpmw,@OscarHernandez-q8y,Qué rico come tu diputado
a:UCOY3XpD9qMCRSA8AA8c4CAw,v:yLZS3JiEBg8,1,UCOY3XpD9qMCRSA8AA8c4CAw,yLZS3JiEBg8,@franciscorodas9686,Arroz con pollo a la MONOPOLIO
a:UCOcUI5XkTYNMSFhZNMIPpGg,v:j43HgwYFKfk,1,UCOcUI5XkTYNMSFhZNMIPpGg,j43HgwYFKfk,@hendersonlopez3864,La cooptación de Walter Mazariegos en la USAC
a:UCOh6DaZC_x9HASnlRylEMfw,v:n8iP75gIpmw,1,UCOh6DaZC_x9HASnlRylEMfw,n8iP75gIpmw,@AndresMedina-v1s,Qué rico come tu diputado
a:UCPLW0HE3siElqCgXfgWxMqg,v:X_FAIef8qlE,1,UCPLW0HE3siElqCgXfgWxMqg,X_FAIef8qlE,@elizabethmonterroso7719,Cruzando la ciudad a puro Transmetro
a:UCPNXmbOBVeC4HS-xemvcPtQ,v:OkXlHx0hx-8,1,UCPNXmbOBVeC4HS-xemvcPtQ,OkXlHx0hx-8,@BelkisRodriguezRamirez,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
a:UCPZueDLrCS4BmTBRMA4q0fA,v:PjmxCj-a9Hg,1,UCPZueDLrCS4BmTBRMA4q0fA,PjmxCj-a9Hg,@kevinochoa3695,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
a:UCQIdKuZ-OzuFqy0KjGrgesg,v:JkpVO1hx2f8,1,UCQIdKuZ-OzuFqy0KjGrgesg,JkpVO1hx2f8,@lyacausa,10 Preguntas a un año del Paro Nacional
a:UCQM2tCKRRytVDRxNUfCDqQQ,v:zweosulrwA8,1,UCQM2tCKRRytVDRxNUfCDqQQ,zweosulrwA8,@elioelias7267,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2
a:UCQMMuADgqWUOcJpLwHOzC-g,v:OkXlHx0hx-8,1,UCQMMuADgqWUOcJpLwHOzC-g,OkXlHx0hx-8,@Ripped-Yoda,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
a:UCQ_-LPP8JAbfkc-b1Q6NvWw,v:n8iP75gIpmw,2,UCQ_-LPP8JAbfkc-b1Q6NvWw,n8iP75gIpmw,@MegaKristenstewart,Qué rico come tu diputado
a:UCQgYjVngJRfPHDLGB5X6ZjA,v:n8iP75gIpmw,1,UCQgYjVngJRfPHDLGB5X6ZjA,n8iP75gIpmw,@oscarnavas9996,Qué rico come tu diputado
a:UCQqetiwzzmRNTM5OWuXarGQ,v:n8iP75gIpmw,1,UCQqetiwzzmRNTM5OWuXarGQ,n8iP75gIpmw,@isaiaslopezvelasquez1539,Qué rico come tu diputado
a:UCQqlPPUGqAfWjd-FSh_qn7Q,v:j43HgwYFKfk,1,UCQqlPPUGqAfWjd-FSh_qn7Q,j43HgwYFKfk,@estuardoargueta137,La cooptación de Walter Mazariegos en la USAC
a:UCQtICyzWmhC5woCtbNgaSmg,v:n8iP75gIpmw,2,UCQtICyzWmhC5woCtbNgaSmg,n8iP75gIpmw,@nestormendez6216,Qué rico come tu diputado
a:UCQtSFINs1h6GHkpg9o5kMvg,v:n8iP75gIpmw,1,UCQtSFINs1h6GHkpg9o5kMvg,n8iP75gIpmw,@MacarioMartinezruiz,Qué rico come tu diputado
a:UCQyOePccUP-fIJYzchAgZYw,v:j43HgwYFKfk,1,UCQyOePccUP-fIJYzchAgZYw,j43HgwYFKfk,@aguilar4254,La cooptación de Walter Mazariegos en la USAC
a:UCRAquv8el-tQ30bN7MlmySQ,v:j43HgwYFKfk,1,UCRAquv8el-tQ30bN7MlmySQ,j43HgwYFKfk,@iamjimalesssa,La cooptación de Walter Mazariegos en la USAC
a:UCRETAiYdh2dL5ZxB0_N1zDA,v:n8iP75gIpmw,1,UCRETAiYdh2dL5ZxB0_N1zDA,n8iP75gIpmw,@Joseroland21,Qué rico come tu diputado
a:UCRcSR3Lvn9DZAmJpVPANfZQ,v:lj983NWyAQY,1,UCRcSR3Lvn9DZAmJpVPANfZQ,lj983NWyAQY,@WalksandSuch,Plan 2032 Ciudad de Guatemala
a:UCRelkU8JiZBytTzebJxaa-w,v:n8iP75gIpmw,1,UCRelkU8JiZBytTzebJxaa-w,n8iP75gIpmw,@danyraymundo2942,Qué rico come tu diputado
a:UCRfkkatKrNtAARnXMMYBGlA,v:6W4u8sGEnGM,1,UCRfkkatKrNtAARnXMMYBGlA,6W4u8sGEnGM,@BernerSoza-mg3vx,Inician los trabajos de recuperación del Puente Belice II.
a:UCRlCV9zSn7avAWh-9_XFWqQ,v:n8iP75gIpmw,1,UCRlCV9zSn7avAWh-9_XFWqQ,n8iP75gIpmw,@ronyarana8849,Qué rico come tu diputado
a:UCRvPToDkkumha7WJAfCDk1A,v:j43HgwYFKfk,1,UCRvPToDkkumha7WJAfCDk1A,j43HgwYFKfk,@ligiaguerra3057,La cooptación de Walter Mazariegos en la USAC
a:UCRznz9-N3Qc1w-qNdLSIY2Q,v:lj983NWyAQY,1,UCRznz9-N3Qc1w-qNdLSIY2Q,lj983NWyAQY,@jimmygomez724,Plan 2032 Ciudad de Guatemala
a:UCSTAUWVc1_82DHYeqOsqEFA,v:lj983NWyAQY,1,UCSTAUWVc1_82DHYeqOsqEFA,lj983NWyAQY,@TheAlexX_C,Plan 2032 Ciudad de Guatemala
a:UCSou6a2OuYGSvPjm5psquyA,v:n8iP75gIpmw,1,UCSou6a2OuYGSvPjm5psquyA,n8iP75gIpmw,@FranciscoRivera-sf7ne,Qué rico come tu diputado
a:UCTD6q1nyIe3Y7HhqjaMj72w,v:n8iP75gIpmw,1,UCTD6q1nyIe3Y7HhqjaMj72w,n8iP75gIpmw,@JuanChang-r6k,Qué rico come tu diputado
a:UCTP3O0rMnc8z8v8jaDQwL0w,v:n8iP75gIpmw,1,UCTP3O0rMnc8z8v8jaDQwL0w,n8iP75gIpmw,@RobertoZelaya-x1v,Qué rico come tu diputado
a:UCTTILH6QCIxbTnEWxwRqs1g,v:yLZS3JiEBg8,1,UCTTILH6QCIxbTnEWxwRqs1g,yLZS3JiEBg8,@3762Jorge,Arroz con pollo a la MONOPOLIO
a:UCThW2XNsAaBKme5PUt7n-Zg,v:n8iP75gIpmw,1,UCThW2XNsAaBKme5PUt7n-Zg,n8iP75gIpmw,@thelmamoran8565,Qué rico come tu diputado
a:UCTwSut16JyAg3mX6LVUNGqA,v:n8iP75gIpmw,1,UCTwSut16JyAg3mX6LVUNGqA,n8iP75gIpmw,@SuperVictor2005,Qué rico come tu diputado
a:UCTylKrsqkrBKIqubMu_5N0Q,v:n8iP75gIpmw,1,UCTylKrsqkrBKIqubMu_5N0Q,n8iP75gIpmw,@edwingeovanymarroquinmarro6684,Qué rico come tu diputado
a:UCUIIIPTVDVHAXqhC_5V6lPA,v:n8iP75gIpmw,1,UCUIIIPTVDVHAXqhC_5V6lPA,n8iP75gIpmw,@gorrarota,Qué rico come tu diputado
a:UCUoYsrx1oZnCZ0usbBJn4fA,v:j43HgwYFKfk,1,UCUoYsrx1oZnCZ0usbBJn4fA,j43HgwYFKfk,@AnaDiaz-re9sq,La cooptación de Walter Mazariegos en la USAC
a:UCV0iizTBoOfdAFX_thfI9BA,v:n8iP75gIpmw,1,UCV0iizTBoOfdAFX_thfI9BA,n8iP75gIpmw,@BenjaminLarios-jd8nk,Qué rico come tu diputado
a:UCV0lM03g5fg5pbPj97-sAtA,v:j43HgwYFKfk,1,UCV0lM03g5fg5pbPj97-sAtA,j43HgwYFKfk,@genarodelgado3929,La cooptación de Walter Mazariegos en la USAC
a:UCV3fr-YOixFKCZBbJP1-X4w,v:6W4u8sGEnGM,5,UCV3fr-YOixFKCZBbJP1-X4w,6W4u8sGEnGM,@albertoshernandez5251,Inician los trabajos de recuperación del Puente Belice II.
a:UCVC2QugcI1G4RvlCiUqd1aQ,v:ndAZjHqzzT8,2,UCVC2QugcI1G4RvlCiUqd1aQ,ndAZjHqzzT8,@rwdm76,Internet: escoger el menos malo
a:UCVQf0tzL7xRzFJsABVVULpg,v:PjmxCj-a9Hg,1,UCVQf0tzL7xRzFJsABVVULpg,PjmxCj-a9Hg,@DennisseLopetegi,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
a:UCVdjCrh4tQoX3haNAZv-n5A,v:OkXlHx0hx-8,1,UCVdjCrh4tQoX3haNAZv-n5A,OkXlHx0hx-8,@aurahernandez5646,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
a:UCVhif9eV0f8plICen2DnpKA,v:WIUZtitfLRw,1,UCVhif9eV0f8plICen2DnpKA,WIUZtitfLRw,@blogarteplus,Caminar en una ciudad hecha para carros
a:UCW-JC6lebVmf2P1dmY_L94g,v:j43HgwYFKfk,1,UCW-JC6lebVmf2P1dmY_L94g,j43HgwYFKfk,@dinoraoroxon5771,La cooptación de Walter Mazariegos en la USAC
a:UCW80DaMjQlEUibC98Cot-Dg,v:j43HgwYFKfk,1,UCW80DaMjQlEUibC98Cot-Dg,j43HgwYFKfk,@rogeraldana4289,La cooptación de Walter Mazariegos en la USAC
a:UCWIZUtKJ636y-4TYrNvok0g,v:n8iP75gIpmw,1,UCWIZUtKJ636y-4TYrNvok0g,n8iP75gIpmw,@cesarandreas7824,Qué rico come tu diputado
a:UCWWkebAekppaL5b5CNlppuw,v:JkpVO1hx2f8,1,UCWWkebAekppaL5b5CNlppuw,JkpVO1hx2f8,@ninettmartinez425,10 Preguntas a un año del Paro Nacional
a:UCWaRixDdpgllTBf4V0jPnKQ,v:6W4u8sGEnGM,2,UCWaRixDdpgllTBf4V0jPnKQ,6W4u8sGEnGM,@hectormaaz5523,Inician los trabajos de recuperación del Puente Belice II.
a:UCWoAVGVqCn4xtINCMOTM4jg,v:j43HgwYFKfk,1,UCWoAVGVqCn4xtINCMOTM4jg,j43HgwYFKfk,@OmarMartinez-vv8re,La cooptación de Walter Mazariegos en la USAC
a:UCWvntqPQx99k_Z_skWKqNSA,v:6W4u8sGEnGM,1,UCWvntqPQx99k_Z_skWKqNSA,6W4u8sGEnGM,@AntonioChiyal-x5s,Inician los trabajos de recuperación del Puente Belice II.
