channel_id,channel_name,videos,comentarios,autores,visualizaciones,autores_unicos
UCwlb2TaG9ywiD6uhHWTy-qg,SUM Estudios Jurídicos.,1,0,0,2895,0
UCq0Cm-3SKthEySQc2JZBi1A,T13 Noticias Guatemala,2,0,0,2557,0
UC6XLvudi9BWjAzCR-6KAHiw,carlos del cid,1,0,0,2482,0
UC6ZUGqkstVjgNPvxtb90d8A,CHAPINISIMO,1,0,0,2326,0
UCBQ9OCZNvmC--OH_e-qGGiA,PFNSE MEDIA,1,0,0,2291,0
UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,10,0,0,2106,0
UCdd624oESXuVlcGtrzMWEBQ,heto009,1,0,0,2054,0
UC6SA1dVHvAkc6yNS_t5cbGw,Conred,8,0,0,1693,0
UCvegRo82EipXUzAHQXZmr4A,MundoHistoria,1,0,0,1420,0
UCrAoF9-9Vvb9_zK0t-m2Rhg,La Hora,3,0,0,1153,0
UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,7,0,0,1138,0
UCBn6Y-Y3kCAQqYXHaMIjEVw,Centro Municipal de Emprendimiento MuniGuate,1,0,0,528,0
UC96TdbkzdlngA9hT1XNzJkw,Fralis Maxiel Martinez,1,0,0,512,0
UCzQX0cEQzCZ4ff9-P3gELug,Carlitos Gamboa,1,0,0,509,0
UCSQM9AVr3rr7_GF8RH5KFGw,Guate Maya Trip,1,0,0,383,0
UC7G_DpDtzHv0wbGJvvFCrNg,Mdpls²,1,0,0,367,0
UCwkVsH8aIOco3U_Fu7-UW5w,AztecaGuate,1,0,0,289,0
UCbKjY2f2sGaghyrIeqjZvmg,ALIS MOLINA CREA,1,0,0,255,0
UCJJ071vIw7Bu8lJmXfiVrKw,Ministerio de Finanzas Públicas Guatemala,1,0,0,222,0
UCJcN367ge_Yo1p7b20_KSaA,Canal 3 Guatemala,1,0,0,215,0
UCiQAWoQNcuKIAvCCFQC54UQ,Ministerio de Comunicaciones Infraestructura y Vivienda,1,0,0,211,0
UC7PbHMtfWgBFZ_SSZ8iRhQg,Noticias-FA-Gt,1,0,0,164,0
UCuc8l25EFE17DV8dD64d2AQ,HeX4EveR,1,0,0,148,0
UCFu4dCls6GPdTvgIeE9wjOA,Cucurucho en Guatemala,1,0,0,128,0
UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,7,0,0,125,0
UC_ONTY8RI6b-VqB-dhQ5qBQ,Camarita Castro GT,1,0,0,84,0
UClgawHgsbqN6Nuok7ds-Szw,INSIVUMEH,1,0,0,79,0
UCgRLnesCOuua3-JgFlzdS2w,TRAYECTORIA Y EXITO CON ANABELLA CORDON,1,0,0,74,0
UCMJ_FUWKr7PyXfvY55BdGZg,La Red 1061,1,0,0,60,0
UCyGWWWpmAP5AReA_o8bhaRg,MESCOGT,1,0,0,58,0
UCWYeiFUCO0SW6BxZ8aPxVTw,Vicepresidencia Guate,1,0,0,48,0
UCYaCfDw7q5l_S1UHjdfzODQ,INFOM TV,1,0,0,23,0
UCBDxkiJk5id4TIOa1FotGUA,La  Coma,1,0,0,21,0
UCedKfsLot_SfwJrfW5OzpPg,Dionel.Art_music,1,0,0,7,0
UCzPhFkpD8lwvlX8nGpJqdUw,Noticias VR,1,0,0,3,0
UCX2epzWFbtqhO1Tn2au9NXQ,luis arturo ceberg ulban,1,0,0,2,0
UCoXuxT5_LclvcoCeFoS_iUw,Campus TV,1,0,0,2,0
